Title	Series	Maker	Release Date	Actress	Age	U-18 Check
PEACH-018D	PEACH		2007-07-28	Yuri Fujise	14y5m	
AHG-0011	AHG		2007-08-24	Yuri Fujise	14y6m	
EIGHT-081D	EIGHT		2007-09-22	Yuri Fujise	14y7m	
PAND-003	PAND		2007-09-27	Yuri Fujise	14y7m	
KBOOT-17	KBOOT		2007-11-21	Yuri Fujise	14y9m	
BBOB-0003	BBOB		2007-11-25	Yuri Fujise	14y9m	
BBOB-0004	BBOB		2007-12-25	Yuri Fujise	14y10m	
MTF-1001	MTF		2008-03-07	Yuri Fujise	15y1m	
VDOD-0008	VDOD		2008-04-25	Yuri Fujise	15y2m	
VDOB-0019	VDOB		2008-09-25	Yuri Fujise	15y7m	
OHP-056	OHP		2009-02-20	Yuri Hamada	17y8m	
LINE-009	LINE		2009-04-11	Yuri Hamada	17y10m	
OHP-3014	OHP		2009-05-15	Yuri Hamada	17y11m	Very Likely
OHP-061	OHP		2009-06-19	Yuri Hamada	17y12m	Likely
JMDV-151	JMDV		2009-06-19	Yuri Hamada	17y12m	Likely
JSSJ-003	JSSJ		2009-07-24	Yuri Hamada	18y1m	Possibly
JSSJ-007	JSSJ		2009-09-25	Yuri Hamada	18y3m	No
MMR-200	MMR		2012-09-28	Yuu Hashimoto	17y6m	
MMR-209	MMR		2012-11-23	Yuu Hashimoto	17y8m	
JSSJ-057	JSSJ		2013-01-25	Yuu Hashimoto	17y10m	
DVDLGM-43	DVDLGM		2007-02-14	Yuu Komai	16y4m	
DVDLGM-47	DVDLGM		2007-04-20	Yuu Komai	16y7m	
AQUA2			2007-07-07	Yuu Komai	16y9m	
OHP-3003	OHP		2007-07-20	Yuu Komai	16y10m	
DVDLGM-51	DVDLGM		2007-09-23	Yuu Komai	16y12m	
DVDLGM-54	DVDLGM		2008-04-26	Yuu Komai	17y7m	
MSR-11	MSR		2008-05-23	Yuu Komai	17y8m	
COJD-013	COJD		2008-06-27	Yuu Komai	17y9m	
JSSJ-020	JSSJ		2010-08-20	Yuuki Minami	17y2m	
JSSJ-024	JSSJ		2010-11-19	Yuuki Minami	17y5m	
LINE-015	LINE		2011-01-31	Yuuki Minami	17y7m	
OMGZ-030	OMGZ		2011-03-12	Yuuki Minami	17y8m	
PIST-002	PIST		2011-05-23	Yuuki Minami	17y11m	Very Likely
LINE-016	LINE		2011-09-27	Yuuki Minami	18y3m	No
SKIP-049	SKIP		2008/10/25	Erika Aoba	06y4m	
